ID,Cluster
beyatiaraban--sarki--aksak--baga_girdim--sadi_hosses,1
beyatiaraban--sarki--aksak--bana_noldu--rahmi_bey,1
beyatiaraban--sarki--aksak--bana_seyran-i--rahmi_bey,1
beyatiaraban--sarki--aksak--lutfunu_kestin--haci_arif_bey,1
beyatiaraban--sarki--curcuna--gonlumun_hayli--haci_arif_bey,1
beyatiaraban--sarki--devrihindi--gonlum_aldin--haci_arif_bey,1
beyatiaraban--sarki--duyek--gozumde_isve-numadir--ahmet_rasim_bey,1
beyatiaraban--sazsemaisi--aksaksemai----rauf_yekta,1
beyatiaraban--seyir--duyek--1--sefik_gurmeric,2
beyatiaraban--seyir--turkaksagi--1--erol_bingol,2
beyatibuselik--kupe--agiraksak--bir--ahmet_avni_konuk,3
buselik--agirsemai--agir_aksaksemai--soyle_ey_nalem--ahmed_irsoy,1
buselik--agirsemai--aksaksemai--niyaz-i_nagme-i--comlekcizade_recep_celebi,3
buselik--aranagme--agiraksak--1--,1
buselik--aranagme--duyek--1--,0
buselik--aranagme--musemmen--1--,1
buselik--aranagme--semai--1--,1
buselik--aranagme--yuruksemai_ii--1--,3
buselik--beste--hafif--her_gordugu--itri,3
buselik--fantezi--devrituran--bir_ak_duvak--fethi_karamahmutoglu,3
buselik--ilahi--sofyan_8--bizi_insan--cinucen_tanrikorur,3
buselik--karce--muhammes--sunbuli_sunbuli--sestari_murat_aga,3
buselik--kupe--agiraksak--buselikle_ol--ahmet_avni_konuk,3
buselik--mehter--yuruksemai_ii----zurnazen_ibrahim_aga,3
buselik--murabba--zencir--gonul_o_turra--yahya_nazim_celebi,3
buselik--nakis--yuruksemai--cefasi_asika--dellalzade_haci_ismail_efendi,3
buselik--ornek_oz--duyek--1--ruhi_ayangil,2
buselik--ornek_oz--semai--1--ruhi_ayangil,0
buselik--ornek_oz--sofyan--1--huseyin_sadettin_arel,2
buselik--pesrev--devrikebir----bolahenk_nuri_bey,3
buselik--pesrev--muhammes----nikolaki,3
buselik--sarki--agiraksak--bir_peri-ruyin--hamparsum,3
buselik--sarki--agiraksak--dun_gece--serif_icli,3
buselik--sarki--agiraksak--kalbimin_derdiyle--feridun_darbaz,3
buselik--sarki--aksak--beni_ihmal--ismail_baha_surelsan,3
buselik--sarki--aksak--bir_misli--sakir_aga,3
buselik--sarki--aksak--bir_pur_cefa--iii_selim,3
buselik--sarki--aksak--bos_kalbimi--suphi_ziya_ozbekkan,3
buselik--sarki--aksak--cehrendeki_tilsimda--yilmaz_karakoyunlu,1
buselik--sarki--aksak--dil_sana--tanburi_isak,3
buselik--sarki--aksak--eda_ile--dede_efendi,3
buselik--sarki--aksak--inanmaz_vad_i--latif_aga,3
buselik--sarki--aksak--omrumun_guzel--emin_ongan,3
buselik--sarki--aksak--sen_de_gozden--cinucen_tanrikorur,1
buselik--sarki--aksaksemai--hala_bilmem--mutlu_torun,3
buselik--sarki--curcuna--aman_cana--fehmi_tokay,3
buselik--sarki--curcuna--benim_gonlum--osman_nuri_ozpekel,3
buselik--sarki--devrihindi--bahara_indi--selahattin_icli,3
buselik--sarki--duyek--askin_once--amir_ates,3
buselik--sarki--duyek--bir_sitemin--durri_turan,3
buselik--sarki--duyek--bunu_inkar--ismet_aga,3
buselik--sarki--duyek--denizlerin_otesinden--ismail_baha_surelsan,1
buselik--sarki--duyek--gecti_bahar--fehmi_tokay,3
buselik--sarki--duyek--gonul_harareti--sukru_senozan,3
buselik--sarki--duyek--gozumde_ozleyis--selahattin_inal,1
buselik--sarki--duyek--keremkani_efendim--tanburi_mustafa_cavus,3
buselik--sarki--duyek--ruzgar_kirdi--selahaddin_erkose,3
buselik--sarki--duyek--saclarima_ak--sadettin_kaynak,1
buselik--sarki--duyek--sevgim_bitti_mi--arif_sami_toker,1
buselik--sarki--duyek--sunbulistan_etmis--sakir_aga,1
buselik--sarki--duyek--yalandir_dogustan--munir_nurettin_selcuk,1
buselik--sarki--duyek--zaman_olur--selahattin_icli,3
buselik--sarki--musemmen--bana_bir_ask--erol_sayan,3
buselik--sarki--semai--bir_aksam--mustafa_seyran,3
buselik--sarki--semai--dil_bestenim--vecdi_seyhun,3
buselik--sarki--senginsemai--bir_tek--ali_ulvi_baradan,1
buselik--sarki--sofyan--aldin_aklim--rifat_bey,3
buselik--sarki--sofyan--iki_kizimiz--erol_sayan,3
buselik--sarki--sofyan--ol_meh--medeni_aziz_efendi,3
buselik--sarki--turkaksagi--dun_gece_sende--sakir_aga,3
buselik--sarki--yuruksemai--her_an--durri_turan,3
buselik--sarki--yuruksemai--suzis-i_sinem--haci_arif_bey,3
buselik--sarki--yuruksemai_ii--gule_sor--ismail_baha_surelsan,3
buselik--sazsemaisi--aksaksemai----ferit_sidal,3
buselik--sazsemaisi--aksaksemai----mutlu_torun,3
buselik--sazsemaisi--aksaksemai----nefiri_behram_aga,3
buselik--seyir--semai--1--rauf_yekta,3
buselik--seyir--sofyan--1--erol_bingol,3
buselik--seyir--sofyan--1--sefik_gurmeric,3
buselik--seyir--turkaksagi--1--erol_bingol,3
buselik--turku--azeriyuruksemai--daglara_cen--,3
buselik--turku--semai--fikrimden_geceler--,0
buselik--turku--yuruksemai_ii--igdirin_al--igdir,0
buselik--yuruksemai--yuruksemai--dehr_olmada--dede_efendi,1
buselikasiran--kupe--aksaksemai--buselikten--ahmet_avni_konuk,0
buselikasiran--seyir--sofyan--1--sefik_gurmeric,0
buzurk--kupe--devrirevan--sur_sal_itdi--ahmet_avni_konuk,2
buzurk--seyir--sofyan--1--sefik_gurmeric,0
canfeza--kupe--aksaksemai--saki-yi--ahmet_avni_konuk,0
canfeza--seyir--sofyan--1--sefik_gurmeric,0
cargah--destan--turkaksagi--bir_gemi_yaptirdim--,3
cargah--ilahi--devrikebir--kudumun_rahmeti--aziz_mahmud_hudai,3
cargah--kupe--musemmen--bezl--ahmet_avni_konuk,3
cargah--turku--agiraksak--tarlalarda_orene--ankara,3
cargah--turku--aksak--bir_tepeden--mugla-milas,1
cargah--turku--raksaksagi--kayanin_bedenleri--beypazari,0
cargah--turku--senginsemai--sak_sak--yurdagul_ulgar,1
cargah--turku--sofyan--dere_kenarinda--rakim_elkutlu,3
